Id,Score
3589,11
3894,3
3976,10
4004,28
6,173
146,35
10456,22
1829,8
1873,19
11330,8
742,26
904,43
1033,49
11831,61
12135,10
10524,27
10915,3
10926,1
12142,6
12144,35
19318,3
11338,12
11491,19
11532,41
22145,11
22259,9
22346,4
13537,68
13620,27
21870,28
7244,65
16178,14
16322,167
16451,21
26882,1
5949,53
15687,21
15734,13
24279,42
30397,5
6607,35
6613,11
6623,4
14413,15
14656,17
14708,11
24680,17
33860,5
2942,15
2987,24
12843,79
13039,29
22816,16
22909,10
33042,15
8546,43
17781,10
27774,2
27793,29
27921,17
36515,9
27288,1
27599,13
36129,5
36186,10
10190,10
10435,7
18413,2
18606,8
18655,134
28599,8
37473,17
7737,6
16689,19
16770,46
16792,10
25902,30
35007,44
22466,17
38838,12
38881,43
38920,1
8691,6
8742,14
9052,6
19941,16
38719,22
2123,12
29847,4
30080,31
30310,54
30319,64
43569,13
43596,15
37535,21
37586,9
37702,20
37809,22
45604,39
22015,22
30879,21
30884,21
31366,4
46860,7
15034,5
39485,6
39742,28
48250,7
48271,3
4208,42
4664,60
14370,6
23373,9
33341,7
33559,63
40692,8
48642,53
17373,7
17533,24
49610,16
49790,5
49900,17
27108,7
34183,12
34234,13
50303,34
50327,5
50335,61
50394,6
36315,11
44078,24
44569,31
53532,14
53545,16
46125,22
46282,6
46283,6
54475,17
30494,24
30504,17
30847,8
55502,11
48744,17
48993,5
57479,1
45882,15
45991,11
55218,11
55322,6
55360,3
39037,6
47701,23
47817,14
47845,77
47989,29
56843,7
41652,8
51452,11
51492,17
59893,11
60000,34
20450,7
20598,6
28949,25
37070,42
51964,7
58697,4
55943,17
55956,16
56078,7
62153,53
47104,4
53967,11
54096,13
67734,20
49368,9
58035,21
58230,7
58280,24
66006,2
62154,6
62264,37
62384,5
69743,3
69814,4
69835,50
69859,10
58750,10
68312,6
68583,1
75700,9
75752,25
57034,8
57075,5
66166,2
73162,19
73286,15
73445,27
73629,7
62987,8
63081,14
77936,10
78125,49
67916,5
74269,10
81905,5
82047,5
36748,11
36953,42
60942,51
69568,1
77280,13
86426,153
65001,9
65091,16
65150,6
65170,10
72789,8
80802,55
81062,54
88711,33
55506,16
71566,10
79538,0
87979,4
82099,17
82109,23
90553,12
64174,6
1393582,54
85195,11
85479,19
85595,13
92239,21
92258,3
76350,12
76591,9
84269,21
84285,8
93171,8
50558,7
66720,24
66770,42
66922,18
67127,19
75440,21
83807,6
92847,6
67454,37
67516,7
82847,6
82864,6
91957,2
92114,8
78619,16
78849,9
87676,11
87692,5
87734,13
87769,4
96615,31
75777,8
75976,22
76042,4
76065,15
76204,2
86163,12
95163,50
61733,15
61888,12
70742,0
70816,29
70909,12
79891,22
79898,19
98642,2
98778,4
78336,7
93716,4
93834,23
93932,8
100592,2
100624,16
43253,13
68633,13
69128,15
77485,131
86907,4
95760,31
105642,9
66009,24
66032,6
81338,39
81410,11
96265,22
103844,14
103945,1
64820,6
1393508,8
80619,25
90565,16
90674,4
107603,69
83476,6
91350,5
100235,22
108171,3
108193,29
93357,9
93540,30
102850,6
111226,23
94153,10
94382,51
94542,11
103179,8
103347,12
110393,12
95211,14
95305,1
104587,1
104638,38
113349,2
105852,43
114611,40
99098,10
99279,11
109444,3
109491,1
116657,22
116684,16
116687,5
100645,27
110229,11
117623,6
117641,0
117774,9
101536,13
101745,23
115098,12
115167,7
120914,20
118516,10
118526,17
118531,34
126207,19
87999,38
98135,82
106627,11
115813,14
116121,76
124166,5
107972,8
108104,53
123575,2
123726,32
123758,115
97614,5
104292,7
127190,30
116701,11
116888,1
125157,13
96922,18
106324,10
106340,81
106425,51
106509,15
130740,16
86526,19
97142,12
105130,40
105477,14
113930,13
138273,21
138279,17
138309,17
121676,8
121762,23
129453,19
138953,39
139010,17
93073,18
102070,12
118935,23
119278,5
119286,28
127606,8
136204,25
136362,16
138355,11
138621,64
101258,73
101362,27
120420,14
126573,3
126611,22
134629,7
142653,3
126320,28
133270,85
133393,16
149506,14
128990,26
129086,6
129257,26
138144,64
143714,20
143933,11
151046,17
151241,2
121025,19
121051,8
121117,16
121274,12
128561,8
145247,19
151686,12
112010,2
128129,37
128166,7
143075,30
150432,22
123793,35
132270,3
147784,23
147839,0
153776,4
146916,7
155279,3
142697,32
150697,35
150753,9
157905,2
157911,31
125409,18
131020,70
152259,12
159076,6
159221,20
144487,6
144642,11
144761,10
158502,1
117810,23
124682,13
131975,90
137550,61
137784,4
152823,0
153148,20
159888,40
130790,12
139605,13
154483,24
162042,78
157463,9
157511,6
164697,6
164751,7
142481,20
149718,31
149851,6
164425,8
164427,37
108521,5
117226,4
117426,17
117508,13
125638,4
135432,23
141467,20
167471,12
156430,48
156575,23
163434,51
168946,28
145321,7
145499,8
145509,73
160118,38
168559,35
168706,11
133571,9
133675,33
140750,27
148879,29
155560,12
162989,10
163022,27
171662,9
151752,14
151783,28
158836,28
158889,49
167199,18
167316,7
167414,37
173560,4
173641,3
160022,15
166210,1
166474,12
174355,6
174356,23
178326,6
178328,40
159393,14
159506,9
172895,11
179259,16
179452,7
146391,14
146737,49
154204,12
154332,18
175763,21
175845,4
180987,4
153934,4
161510,19
161519,5
161697,6
181845,11
162335,20
162641,21
171655,6
177122,25
185673,13
164034,4
164143,34
176440,0
176851,1
180435,3
185423,4
185483,15
185559,16
165101,19
165331,3
173503,5
178661,3
183742,8
187357,1
158514,40
165887,10
178837,21
178846,22
178898,28
191998,4
169170,5
169398,1
190740,36
190755,18
164642,21
174764,8
174839,12
179723,17
189031,19
191463,44
169833,7
169894,17
186734,7
186917,3
188462,2
188584,10
190516,10
192649,38
181254,16
181309,2
181342,14
181374,9
181406,23
181453,10
